Asset Name,Month Created,Asset Type,Realistic Price,Platform Strategy,Monthly Sales Est
Maya-Unity Pipeline Tools,1,Tool,25,Unity,2
Character Rig Templates,1,Template,15,Unity,1
Basic Anime Shaders,1,Shader,20,Multiple,3
Project Setup Scripts,1,Script,15,Unity,2
Git Workflow Templates,1,Template,10,GitHub,1
Anime Character Pack (5 models),2,Character,120,Multiple,3
Facial Animation System,2,Animation,65,Unity,2
Hair Dynamics Kit,2,VFX,45,Multiple,2
Combat Animation Set,2,Animation,85,Unity,2
Dialogue Gesture Pack,2,Animation,55,Unity,2
Expression Library,2,Animation,35,Unity,1
Modular Village Kit,3,Environment,95,Multiple,2
Japanese Architecture Pack,3,Environment,85,Multiple,2
Fantasy Forest Bundle,3,Environment,75,Multiple,2
Lighting Preset Collection,3,Lighting,40,Unity,3
Atmospheric Effects,3,VFX,50,Multiple,2
Procedural Terrain Tools,3,Tool,35,Unity,2
Game Website Template,4,Web,45,Web,1
Community Dashboard,4,Web,55,Gumroad,1
Analytics Integration,4,Script,30,Unity,2
Social Media Automation,4,Script,25,Unity,2
Tutorial Template Pack,4,Educational,65,Gumroad,1
Advanced Shader Library,5,Shader,75,Multiple,2
Performance Optimization Tools,5,Tool,45,Unity,2
Quality Assurance Suite,5,Tool,35,Unity,2
Cross-Platform Porting Kit,5,Tool,40,Unity,2
Advanced Animation Controllers,5,Animation,55,Unity,2
Complete RPG Game Template,6,Game Kit,250,Steam,1
Marketing Asset Pack,6,Marketing,95,Multiple,1
Steam Integration Kit,6,Tool,65,Unity,2
Community Management Tools,6,Tool,45,Unity,2
Educational Course Bundle,6,Educational,150,Gumroad,1
