Asset Name,Category,Unity Price,Monthly Sales,Dev Hours
Anime Character Pack (5 models),Character,120,3,80
Character Facial Expression Set,Character,45,5,30
Hair Styles Collection (12 variations),Character,65,4,50
Anime Clothing & Armor Pack,Character,85,3,60
Character Weapon Collection,Character,75,4,40
Character Animation Library,Animation,95,2,70
Emote & Gesture Pack,Animation,55,3,40
Japanese Village Modular Kit,Environment,150,2,120
Fantasy Forest Environment,Environment,125,2,100
Dungeon Tileset Collection,Environment,95,3,80
Architectural Props Pack,Environment,75,4,60
Interactive Objects Set,Environment,85,3,50
Particle Effects Library,VFX,65,4,40
Atmospheric Elements Pack,VFX,45,5,30
Anime UI Theme Collection,UI,85,4,50
Icon Pack (500+ icons),UI,35,8,20
Menu Templates & Layouts,UI,55,5,30
HUD Elements Pack,UI,45,6,25
Loading Screen Collection,UI,35,4,20
Anime Music Collection,Audio,95,2,60
Sound Effects Library,Audio,65,4,40
Voice Acting Samples,Audio,45,3,30
Interactive Audio Triggers,Audio,35,5,25
